001,2001/08/01,2004/06/01
002,2002/08/01,2005/06/01
003,2003/08/01,2006/06/01
004,2004/08/01,2007/06/01
005,2005/08/01,2008/06/01
006,2006/08/01,2009/06/01
007,2007/08/01,2010/06/01
008,2008/08/01,2011/06/01
009,2009/08/01,2012/06/01
010,2010/08/01,2013/06/01
011,2011/08/01,2014/06/01
012,2012/08/01,2015/06/01
013,2013/08/01,2016/06/01
014,2014/08/01,2017/06/01
015,2015/08/01,2018/06/01
016,2016/08/01,2019/06/01
017,2017/08/01,2020/06/01
018,2018/08/01,2021/06/01
019,2019/08/01,2022/06/01
020,2020/08/01,2023/06/01
